area_id,Baseline: People Moving,Crisis: People Moving,Absolute Change,Mobility Category,Cluster
"(62.788086, 9.434505, 62.963867, 9.098787)",10.333333333333,10.0,-0.33333333333299997,Reduction,0
"(62.788086, 9.434505, 63.051758, 9.098787)",12.0,10.0,-2.0,Reduction,0
"(63.754883, 8.594076, 63.754883, 8.678289)",14.666666666666998,10.0,-4.666666666666998,Reduction,0
"(63.754883, 8.678289, 63.754883, 8.594076)",18.666666666667,18.0,-0.6666666666669983,Reduction,0
"(65.86426, 10.354521, 65.77637, 11.766699)",12.0,10.0,-2.0,Reduction,0
